,collocate,raw_frequency,MI
34,re,5119,2.504809422054678
15,brought,5153,2.4952588358930305
311,set,5153,2.4952588358930305
140,off,10375,2.4856319970370473
5,with,119666,2.481363888659756
117,really,5290,2.4574037060446714
361,here,16000,2.4456339291051283
20,into,27283,2.4126691385981736
373,mother,11072,2.3918274854093347
369,without,11149,2.381829018843371
388,called,5585,2.379114147675382
83,cried,5603,2.374471935815869
259,through,11222,2.3724135155759787
104,again,17012,2.3571530741414515
309,woman,11408,2.3486974466021713
28,don,17201,2.341213394109945
80,had,130329,2.2940887180752854
76,than,23706,2.2934910813472325
428,since,5930,2.2926393236126934
183,am,17832,2.289237312507463
250,sat,6014,2.2723465604720565
135,which,55348,2.24013714877605
357,room,12354,2.233765097692649
313,last,12401,2.228286871201328
44,is,80966,2.221866846468326
181,nothing,12498,2.217046088284256
200,over,18839,2.2099834474693165
70,must,18850,2.2091413107238265
316,both,6343,2.1955060862131894
296,your,32982,2.138992543174504
190,having,6628,2.1320978258246073
205,before,19901,2.130864908032084
144,indeed,6673,2.122335924533042
441,till,6684,2.119959694984871
120,may,13512,2.1045021002446735
198,girl,6957,2.0622061076788993
41,on,83998,2.0533508566172274
325,where,14146,2.0383491670808147
30,who,35600,2.0287941871922994
136,never,21437,2.0236028121886562
93,her,157324,2.022508084523302
51,between,7171,2.0184971107895824
268,stood,7245,2.0036857386017677
392,see,22306,1.9662740072135776
129,little,29962,1.955609404834192
223,friend,7499,1.9539732049393348
111,turned,7543,1.9455330024595159
50,and,464653,1.9313988536306919
152,against,7628,1.929366584733303
153,mrs,15267,1.9283267363477046
84,way,15400,1.915812982576433
275,m,7914,1.8762643630733582
115,at,94972,1.8762035988302876
206,did,23883,1.867721765903122
11,that,184707,1.855138652255378
401,been,40162,1.8548403135216616
81,in,220766,1.8291847398903212
187,they,51271,1.765562797590974
196,right,8646,1.7486385921501555
130,made,17522,1.7295758767422784
289,because,8881,1.7099492952979873
67,his,151274,1.70711403212234
173,by,54906,1.66674202201343
150,go,18469,1.653637579471732
21,for,111639,1.6429366326147739
8,of,385180,1.6288344482752075
9,but,94079,1.626798703059911
300,things,9789,1.569509940233039
418,while,9813,1.5659771682421249
98,said,69057,1.558310594098687
197,yes,10063,1.5296828653402263
43,she,141679,1.5215442262716448
424,most,10205,1.5094671511259778
24,when,41369,1.4901932493216183
228,from,52134,1.4784468729047697
211,any,21077,1.4630737982637774
278,being,10949,1.4079442226584153
58,was,187449,1.3977799506800446
10,to,393339,1.2854361197745243
40,there,48533,1.2597772924476078
57,men,12162,1.2563628388580041
36,some,24566,1.2420803659046527
59,he,205737,1.1760139653283765
142,still,12863,1.175516176027477
118,about,25796,1.1715959588386655
321,we,39440,1.1440462825019415
340,my,79926,1.1250409447144332
106,this,53893,1.1086454356786337
149,shall,13750,1.0793117148593125
308,life,14245,1.0282877118348457
154,so,57145,1.024116060617188
123,mr,29736,0.9665327401843017
12,t,45155,0.948820088464751
383,lady,15155,0.938949481374368
226,face,15179,0.9366665850727811
327,what,45925,0.9244261128811414
232,now,31571,0.8801433752786474
26,very,31790,0.8701703170207208
445,would,48107,0.8574589998791464
222,will,32348,0.8450668169288532
231,no,48713,0.8393989996362652
257,be,81619,0.8317663936502331
